taxonID	habitat
23735484	marine
23735520	marine
23735583	brackish
23735583	freshwater
23735596	freshwater
23735673	marine
23735863	freshwater
23735964	marine
23736003	freshwater
23736030	marine
23736084	marine
23736091	brackish
23736091	marine
23736092	freshwater
23736122	brackish
23736122	marine
23736352	brackish
23736352	marine
23736526	freshwater
23736565	freshwater
23736570	marine
23736601	marine
23736709	freshwater
23736761	freshwater
23736778	freshwater
23736790	freshwater
23736811	brackish
23736811	freshwater
23736811	marine
23736829	marine
23736830	marine
23736837	marine
23736838	marine
23736853	marine
23736873	freshwater
23736920	marine
23736979	marine
23737000	freshwater
23737019	freshwater
23737040	freshwater
23737047	freshwater
23737049	freshwater
23737052	freshwater
23737154	freshwater
23737156	freshwater
23737219	freshwater
23737274	freshwater
23737290	freshwater
23737340	freshwater
23737384	freshwater
23737391	freshwater
23737398	freshwater
23737402	freshwater
23737421	freshwater
23737422	freshwater
23737428	freshwater
23737429	freshwater
23737435	freshwater
23737442	freshwater
23737530	freshwater
23737537	freshwater
23737557	freshwater
23737673	freshwater
23737683	freshwater
23737685	freshwater
23737686	freshwater
23737824	freshwater
23737888	brackish
23737888	freshwater
23737889	brackish
23737889	freshwater
23737889	marine
23737895	brackish
23737895	freshwater
23737895	marine
23737952	brackish
23737952	marine
23738007	brackish
23738007	marine
23738050	brackish
23738050	freshwater
23738050	marine
23738084	freshwater
23738087	brackish
23738087	freshwater
23738087	marine
23738131	brackish
23738131	freshwater
23738148	marine
23738161	freshwater
23738162	freshwater
23738163	freshwater
23738166	freshwater
23738196	brackish
23738196	marine
23738203	freshwater
23738260	marine
23738263	marine
23738264	marine
23738359	freshwater
23738376	freshwater
23738416	freshwater
23738471	freshwater
23738472	freshwater
23738474	freshwater
23738475	freshwater
23738479	freshwater
23738482	freshwater
23738484	freshwater
23738485	freshwater
23738488	freshwater
23738492	freshwater
23738494	freshwater
23738567	freshwater
23738608	freshwater
23738609	freshwater
23738611	freshwater
23738629	freshwater
23738685	freshwater
23738725	freshwater
23738730	freshwater
23738732	freshwater
23738736	freshwater
23738755	freshwater
23738758	freshwater
23738779	freshwater
23738786	freshwater
23738787	freshwater
23738827	freshwater
23738873	freshwater
23738944	freshwater
23738998	freshwater
23739053	freshwater
23739067	brackish
23739067	marine
23739094	marine
23739106	marine
23739113	freshwater
23739178	marine
23739292	marine
23739330	marine
23739332	brackish
23739332	marine
23739335	marine
23739363	marine
23739365	marine
23739367	marine
23739369	marine
23739372	brackish
23739372	marine
23739381	marine
23739382	marine
23739392	brackish
23739392	marine
23739411	marine
23739416	freshwater
23739417	marine
23739418	freshwater
23739419	brackish
23739419	freshwater
23739419	marine
23739420	marine
23739422	marine
23739424	marine
23739429	brackish
23739429	marine
23739436	marine
23739441	marine
23739446	marine
23739448	marine
23739449	marine
23739456	marine
23739457	marine
23739478	marine
23739479	marine
23739480	marine
23739494	marine
23739502	marine
23739516	freshwater
23739517	freshwater
23739530	freshwater
23739531	marine
23739533	marine
23739535	marine
23739536	marine
23739538	marine
23739542	marine
23739543	marine
23739552	marine
23739553	marine
23739556	brackish
23739556	freshwater
23739556	marine
23739568	marine
23739578	brackish
23739578	marine
23739579	marine
23739585	marine
23739588	marine
23739589	marine
23739590	marine
23739596	brackish
23739596	freshwater
23739600	marine
23739605	freshwater
23739610	freshwater
23739614	freshwater
23739616	freshwater
23739621	marine
23739629	marine
23739635	marine
23739652	marine
23739689	brackish
23739689	marine
23739746	marine
23739747	marine
23739749	marine
23739783	marine
23739871	marine
23739931	marine
23739932	marine
23739943	marine
23739944	marine
23739948	brackish
23739948	freshwater
23739948	marine
23739951	marine
23739953	marine
23739954	marine
23739955	marine
23739959	marine
23739967	marine
23739968	marine
23739970	marine
23739973	brackish
23739973	marine
23739975	brackish
23739975	freshwater
23739975	marine
23739976	marine
23739978	marine
23739980	brackish
23739980	marine
23739982	brackish
23739982	freshwater
23739982	marine
23739983	brackish
23739983	marine
23739984	marine
23739988	marine
23739997	marine
23740000	brackish
23740000	marine
23740002	marine
23740003	marine
23740004	brackish
23740004	marine
23740005	marine
23740006	marine
23740007	marine
23740008	marine
23740009	marine
23740010	marine
23740011	marine
23740012	marine
23740013	brackish
23740013	marine
23740014	brackish
23740014	freshwater
23740014	marine
23740021	marine
23740022	marine
23740023	marine
23740024	marine
23740033	brackish
23740033	marine
23740047	marine
23740051	marine
23740061	brackish
23740061	marine
23740068	marine
23740073	brackish
23740073	marine
23740074	brackish
23740074	marine
23740075	marine
23740080	brackish
23740080	marine
23740082	marine
23740083	marine
23740087	brackish
23740087	freshwater
23740087	marine
23740102	freshwater
23740137	marine
23740145	marine
23740146	marine
23740172	brackish
23740172	marine
23740183	brackish
23740183	marine
23740185	brackish
23740185	freshwater
23740190	brackish
23740190	freshwater
23740245	brackish
23740245	marine
23740283	marine
23740314	brackish
23740314	marine
23740315	brackish
23740315	freshwater
23740317	brackish
23740317	marine
23740319	marine
23740320	marine
23740321	marine
23740322	brackish
23740322	freshwater
23740322	marine
23740323	brackish
23740323	marine
23740324	marine
23740325	marine
23740326	marine
23740328	brackish
23740328	marine
23740329	marine
23740330	marine
23740331	brackish
23740331	marine
23740332	marine
23740333	marine
23740334	marine
23740335	marine
23740336	marine
23740337	brackish
23740337	marine
23740338	marine
23740339	marine
23740340	marine
23740341	marine
23740342	marine
23740343	marine
23740344	marine
23740345	marine
23740346	marine
23740347	brackish
23740347	marine
23740348	marine
23740349	marine
23740350	marine
23740351	marine
23740352	marine
23740353	brackish
23740353	marine
23740354	marine
23740355	marine
23740356	marine
23740357	brackish
23740357	freshwater
23740357	marine
23740358	marine
23740359	marine
23740360	marine
23740361	marine
23740362	freshwater
23740363	marine
23740364	brackish
23740364	freshwater
23740364	marine
23740365	brackish
23740365	marine
23740366	brackish
23740366	marine
23740367	marine
23740368	brackish
23740368	marine
23740369	brackish
23740369	marine
23740370	brackish
23740370	marine
23740371	marine
23740372	marine
23740373	marine
23740374	marine
23740375	marine
23740376	brackish
23740376	freshwater
23740377	marine
23740378	marine
23740379	brackish
23740379	freshwater
23740379	marine
23740381	marine
23740382	marine
23740384	marine
23740385	marine
23740386	brackish
23740386	freshwater
23740387	marine
23740388	marine
23740389	brackish
23740389	freshwater
23740389	marine
23740390	marine
23740391	marine
23740392	marine
23740393	marine
23740394	marine
23740395	marine
23740396	brackish
23740396	marine
23740397	brackish
23740397	freshwater
23740398	marine
23740399	marine
23740400	marine
23740401	marine
23740402	marine
23740404	marine
23740405	brackish
23740405	marine
23740406	marine
23740408	marine
23740409	brackish
23740409	marine
23740410	marine
23740411	marine
23740412	marine
23740413	brackish
23740413	marine
23740416	marine
23740417	freshwater
23740418	marine
23740419	marine
23740420	brackish
23740420	marine
23740421	marine
23740422	marine
23740423	marine
23740425	marine
23740426	brackish
23740426	marine
23740427	marine
23740428	marine
23740429	brackish
23740429	marine
23740430	brackish
23740430	marine
23740431	marine
23740432	marine
23740433	marine
23740434	marine
23740435	marine
23740436	brackish
23740436	marine
23740437	brackish
23740437	freshwater
23740437	marine
